Genes,GLC01,A549,BEAS,NCI-H23,CALU-3
OTUB1_HUMAN,5.674498488,4.951317369,3.142145482,4.160225032,4.654565312
PSD13_HUMAN,7.043592343,6.408029428,6.280568638,6.759517761,6.807823793
PAMR1_HUMAN,-0.340850857,-0.340850857,-0.340850857,-0.340850857,-0.340850857
TRIM3_HUMAN,0.660831661,0.622921805,0.462669512,0.660854994,0.022082572
SELH_HUMAN,5.270971122,4.785627497,5.438344417,4.412706235,5.351093793
MK_HUMAN,-0.340850857,2.751661945,3.331810329,3.027234167,4.158155535
SCYL1_HUMAN,3.908102369,3.856321715,4.177021989,3.930530844,3.677371143
PHLB1_HUMAN,2.475169887,1.888507263,4.297039965,3.054281524,3.248104439
SHIP2_HUMAN,6.413095089,5.992658623,6.151071006,7.095439475,6.361038358
CD44_HUMAN,7.306223803,9.733852007,0.830658222,8.024954765,10.43269585
MYO7A_HUMAN,0.058767287,1.26846799,-0.189046399,2.549477864,1.536422423
NAV2_HUMAN,2.576169875,4.301505457,5.208082024,2.35707158,4.128436204
NUCB2_HUMAN,6.688386195,7.043951829,7.721059953,6.937013085,7.29200839
PANX1_HUMAN,2.828060796,3.671112793,4.461248104,3.677132905,3.473503968
DPP3_HUMAN,3.830939818,4.052817087,3.155970495,4.1866032,3.743778891
CD59_HUMAN,7.89857009,8.21472112,7.032732386,6.980410203,10.09870897
FBX3_HUMAN,5.131421681,5.00263554,4.848829977,4.534171348,5.068705775
O10A6_HUMAN,-0.139489332,-0.340850857,-0.340850857,-0.115236367,-0.340850857
AMPD3_HUMAN,0.214320456,3.289975969,0.908833758,0.403046833,0.573392252
BET1L_HUMAN,4.162633455,3.605734675,3.948973662,3.743988095,3.872696344
GAS2_HUMAN,0.807609453,-0.340850857,-0.189046399,-0.340850857,1.480506448
H2AX_HUMAN,4.963029094,4.643373667,3.882004108,3.809741837,2.809875046
IFM2_HUMAN,7.22169329,7.080493095,5.491960815,0.727357846,1.661092791
APC15_HUMAN,4.805552711,3.609116991,2.736977537,3.669475677,3.379043749
LRC51_HUMAN,2.260100155,2.075034869,2.57284795,3.097797002,1.839639262
HPS5_HUMAN,5.266696035,5.165408333,5.664699306,5.732425874,4.666181246
TF2H1_HUMAN,4.961064227,4.914457279,5.802669025,5.024416972,4.658274255
LDHA_HUMAN,10.69781135,10.87050719,7.282248848,10.08273048,9.313152298
SAA1_HUMAN,-0.002622141,1.418315994,4.156785945,0.101313993,2.687859057
LAYN_HUMAN,-0.139489332,3.995689466,2.241789866,3.143026129,0.079179578
SIK2_HUMAN,5.168361152,4.228359187,5.499937809,4.665210571,4.651384166
TM86A_HUMAN,-0.340850857,-0.340850857,0.083828512,-0.340850857,1.454408066
JAM3_HUMAN,1.446947619,0.632728006,0.254589814,6.06706814,-0.125928928
VP26B_HUMAN,4.647681991,4.120754983,4.185108029,4.171484339,4.516623625
THYN1_HUMAN,4.922794747,5.16013426,6.179992339,4.807833295,5.1610546
ACAD8_HUMAN,3.369975745,2.826523278,3.466125778,3.363279053,3.282287645
ATM_HUMAN,5.345306403,5.724634901,5.934282647,5.796109845,5.604926982
DEAF1_HUMAN,3.899973339,3.746694657,4.072691409,2.703080253,3.968108777
SHAN2_HUMAN,5.039793794,3.539001149,-0.183183322,3.438795107,4.915615173
CNDD3_HUMAN,4.836830575,4.674837045,5.945214744,5.573353819,5.466320382
AP2A2_HUMAN,5.222528417,4.892808916,4.987181433,4.423137468,5.089605404
