Genes,ccd,ccd,ccd
SRG2C_HUMAN,3.959219041,3.827719585,3.84593117
TTF2_HUMAN,4.634278936,4.892570403,4.828204932
MAGI3_HUMAN,4.839514696,4.97176764,4.586391545
GABP2_HUMAN,4.65857887,4.32665626,4.736284077
LYSM1_HUMAN,3.502793157,3.69397594,3.321290704
DEN2C_HUMAN,2.548851742,1.528472007,1.947944625
DEP1A_HUMAN,3.702990274,3.69397594,3.188847197
GPHRA_HUMAN,3.555506503,2.905793422,3.188847197
TF2B_HUMAN,4.532766978,4.296208393,4.612480248
TNFL4_HUMAN,2.197285588,3.32316388,3.658310983
CSF1_HUMAN,5.276324897,5.457831606,5.110402335
IGSF8_HUMAN,3.702990274,2.640889929,3.383215487
MPC2_HUMAN,6.893670774,7.052989738,6.780658138
CA112_HUMAN,1.731456765,1.03330744,1.576029644
LAMC1_HUMAN,9.334913478,9.520692702,9.260233318
MGST3_HUMAN,7.80154984,7.980914876,7.784102223
ILF2_HUMAN,6.137371553,6.228060066,6.200866681
TIPRL_HUMAN,7.071608181,7.232552406,7.09936003
NDK7_HUMAN,3.793551325,3.910455573,4.263153899
SFT2B_HUMAN,6.316038764,6.847858013,6.324389248
UCK2_HUMAN,4.729115373,4.649281818,4.586391545
PIGM_HUMAN,5.683995501,5.82075553,5.589007087
PO2F1_HUMAN,4.107807238,4.892570403,3.801263664
KIFA3_HUMAN,4.901914174,4.742565535,4.71235868
TPR_HUMAN,8.470517721,8.415628998,8.305715745
MET18_HUMAN,2.440909998,1.03330744,2.488455847
EXTL2_HUMAN,6.982977503,7.175146038,7.023610887
DDX59_HUMAN,4.142680453,4.808771789,4.419100412
NIBA1_HUMAN,6.586853938,7.162541753,6.780658138
LAMC2_HUMAN,2.992930665,1.896423676,1.576029644
LFA3_HUMAN,3.067421454,2.984287397,2.596971191
NUF2_HUMAN,3.270269458,2.822781781,3.383215487
MFD4A_HUMAN,1.039210356,-0.340850857,-0.340850857
TBX19_HUMAN,1.535449415,2.050305593,1.773938675
NR5A2_HUMAN,-0.340850857,1.03330744,-0.340850857
PACE1_HUMAN,3.391210818,3.69397594,2.488455847
DUS10_HUMAN,3.836785612,3.784501481,4.229834685
NMNA2_HUMAN,0.707754626,1.03330744,0.296259822
TARB1_HUMAN,3.655484737,3.129519424,3.93131984
TDRD5_HUMAN,-0.340850857,-0.340850857,-0.340850857
SCPDL_HUMAN,5.913352468,5.755109592,5.665763526
ELK4_HUMAN,5.923415127,6.259964536,5.819259463
TFB2M_HUMAN,2.831311907,3.32316388,3.117768007
LYPL1_HUMAN,4.423568075,4.696677503,4.327569023
MPZL1_HUMAN,7.847193963,7.808260552,7.832074102
INT7_HUMAN,2.992930665,2.640889929,2.792212717
PRDX6_HUMAN,8.331962378,8.287985611,8.433775964
EDAD_HUMAN,-0.340850857,-0.340850857,-0.340850857
BRNP3_HUMAN,-0.340850857,-0.340850857,-0.340850857
GPTC2_HUMAN,5.092339378,5.202710033,5.233182686
SMYD2_HUMAN,5.425385745,5.401734501,5.266425551
LYAM1_HUMAN,0.276696563,-0.340850857,-0.340850857
CAN8_HUMAN,-0.340850857,-0.340850857,-0.340850857
RHOU_HUMAN,1.039210356,1.896423676,1.073627923
RING2_HUMAN,4.584415605,4.649281818,4.828204932
RGS5_HUMAN,4.47920045,3.69397594,4.295720941
SPT17_HUMAN,0.707754626,1.528472007,0.736681169
PRRX1_HUMAN,8.161770988,8.126470219,8.06717711
NS1BP_HUMAN,6.836241815,6.344229323,6.751605836
DTL_HUMAN,2.548851742,2.640889929,2.243366637
TRM1L_HUMAN,5.00026634,4.696677503,4.782976469
SOAT1_HUMAN,6.119976033,6.51920188,6.268058599
BATF3_HUMAN,2.058078915,1.528472007,1.576029644
CNST_HUMAN,4.209995522,4.742565535,4.559822371
SOX13_HUMAN,1.308561741,1.724146699,1.346588607
NID1_HUMAN,8.148963488,8.08030948,8.092885901
ZN678_HUMAN,2.992930665,3.19699711,3.117768007
RT14_HUMAN,4.942063148,4.442401772,4.160794884
LHX9_HUMAN,-0.340850857,-0.340850857,-0.340850857
DESI2_HUMAN,5.991954491,6.047900929,6.174840382
S26A9_HUMAN,-0.340850857,-0.340850857,-0.340850857
S45A3_HUMAN,2.831311907,0.70280457,2.103204187
KI26B_HUMAN,2.649276492,2.984287397,2.371109553
RRP15_HUMAN,5.893014111,5.903880544,5.830417157
TMM59_HUMAN,7.976052903,7.633568532,7.837614401
CYBP_HUMAN,6.554845615,6.472310079,6.570486553
PTN14_HUMAN,8.174465789,8.604532688,8.13173788
NEK2_HUMAN,1.90399146,2.432711588,2.964153953
CA053_HUMAN,1.90399146,1.528472007,2.103204187
RAB4A_HUMAN,6.567734287,6.472310079,6.488337947
TOM20_HUMAN,7.529140289,7.399399214,7.485513506
TADA1_HUMAN,4.365704095,4.787038881,4.893495293
DHX9_HUMAN,7.14224057,7.299322266,7.103964854
BT3L4_HUMAN,5.923415127,5.755109592,5.968121624
SWT1_HUMAN,2.649276492,2.540552476,2.792212717
FBX28_HUMAN,5.161987989,5.387362651,5.091977123
COP1_HUMAN,4.532766978,4.442401772,4.477046462
RGS18_HUMAN,3.878761874,3.129519424,3.707552626
GNPAT_HUMAN,5.110069285,5.601718088,5.392228736
TGFB2_HUMAN,6.787492307,6.657373814,6.757463289
ODR4_HUMAN,5.872384931,5.686333623,5.86338164
FMO4_HUMAN,-0.340850857,0.273361542,-0.340850857
NSL1_HUMAN,5.851456487,5.788305909,5.808014804
GALT2_HUMAN,7.637026722,7.627466839,7.76387589
SPRTN_HUMAN,4.107807238,3.827719585,4.358729203
EGLN1_HUMAN,0.707754626,1.528472007,0.296259822
GBG4_HUMAN,1.535449415,-0.340850857,0.296259822
PAPP2_HUMAN,1.535449415,1.528472007,1.576029644
LRRN2_HUMAN,0.276696563,-0.340850857,0.296259822
2A5A_HUMAN,6.331235427,6.259964536,6.166059556
SUCO_HUMAN,7.034951409,7.1540773,7.162527281
ATF3_HUMAN,4.365704095,3.827719585,4.263153899
RN5A_HUMAN,4.107807238,2.905793422,3.554479343
PLXA2_HUMAN,3.138254159,3.869680593,4.011935787
PA24A_HUMAN,1.308561741,1.03330744,0.736681169
EKI2_HUMAN,2.992930665,3.546554987,3.707552626
LGAT1_HUMAN,6.593171258,6.738875983,6.814765843
F262_HUMAN,2.440909998,0.70280457,1.576029644
NENF_HUMAN,5.623557992,5.698026389,5.738641721
TATD3_HUMAN,4.394926169,3.910455573,3.93131984
ZN672_HUMAN,2.440909998,2.640889929,1.576029644
LAMB3_HUMAN,1.535449415,1.03330744,1.773938675
DUSTY_HUMAN,6.83090584,6.873864072,6.622763568
ARGAL_HUMAN,5.396780262,5.674545314,5.451242222
TSNAX_HUMAN,6.237557379,6.083996305,6.259828766
CAPON_HUMAN,0.707754626,0.273361542,0.736681169
AMPB_HUMAN,5.411153901,5.893748094,5.479867746
ANGE2_HUMAN,4.65857887,4.469943248,4.688029809
K0040_HUMAN,-0.340850857,-0.340850857,-0.340850857
EXOC8_HUMAN,4.79636335,4.600276035,4.759819163
NEK7_HUMAN,7.14224057,6.983029267,7.131289344
PGBD5_HUMAN,-0.340850857,-0.340850857,-0.340850857
