Compounds,GLC01,A549,BEAS,NCI-H23,CALU-3
4_3_2_0,0.05,0.033333333,0.013333333,0.04,0.12
6_5_1_0,2.923333333,2.763333333,1.913333333,2.176666667,1.37
6_5_2_0,0.203333333,0.086666667,0.546666667,0.206666667,0.86
6_5_3_0,0.013333333,0.02,0.056666667,0.013333333,0.203333333
5_5_3_0,0.02,0,0.01,0.036666667,0.66
4_4_3_0,0.01,0.023333333,0.006666667,0,0.036666667
4_5_1_0,0.046666667,0.023333333,0.08,0.046666667,0.223333333
4_5_3_0,0.003333333,0.013333333,0.013333333,0,0.266666667
5_5_2_0,0.003333333,0,0,0.03,1.456666667
5_5_1_1,0.133333333,0.21,0.203333333,0.21,3.513333333
5_4_1_1,11,9.716666667,6.53,5.96,2.606666667
5_4_2_1,0.876666667,0.506666667,0.81,0.493333333,1.566666667
6_5_1_1,3.343333333,2.603333333,3.43,1.643333333,1.37
6_5_2_1,0.213333333,0.036666667,0.883333333,0.15,1.243333333
6_5_1_2,4.683333333,4.98,9.49,3.3,0.786666667
6_5_2_2,0.353333333,0.046666667,0.92,0.04,0.346666667
5_4_3_1,0.006666667,0.04,0.076666667,0.03,0.036666667
